"Rule","Status","Rows"
"rule-active-compromised-account-NO-PARSERS","Failed","-1"
"rule-cross-feed-correlation-NO-PARSERS","Failed","-1"
"rule-department-compromise-cluster-NO-PARSERS","Failed","-1"
"rule-high-risk-user-compromised-NO-PARSERS","Failed","-1"
"rule-malware-infrastructure-correlation-NO-PARSERS","Failed","-1"
"rule-malware-infrastructure-NO-PARSERS","Failed","-1"
"rule-repeat-compromise-NO-PARSERS","Failed","-1"
